Idx,Filename,Size_MB,Operation,Serial_s,OMP_2,OMP_4,OMP_8,CU_128,CU_256,CU_512
74,sample74.txt,68.4061,Encryption,16.5052,8.33396,5.00585,5.34034,0.164774,0.119104,0.112432
74,sample74.txt,68.4061,Decryption,16.5124,8.24298,4.94862,5.51915,0.171139,0.150388,0.116826
75,sample75.txt,75.936,Encryption,18.2575,9.32156,5.75715,5.64029,0.187677,0.156648,0.127995
75,sample75.txt,75.936,Decryption,18.7914,9.57213,5.6111,5.56849,0.187125,0.158112,0.125507
76,sample76.txt,84.2946,Encryption,20.1469,10.2313,6.27856,6.48639,0.207772,0.165291,0.140251
76,sample76.txt,84.2946,Decryption,20.6318,10.0905,6.41435,6.58599,0.20752,0.163678,0.136097
77,sample77.txt,93.5734,Encryption,22.1944,11.5809,6.83774,7.02648,0.231959,0.181528,0.158326
77,sample77.txt,93.5734,Decryption,22.9796,11.3672,7.03911,7.25346,0.231101,0.207815,0.167952
78,sample78.txt,103.874,Encryption,17.4093,11.6153,7.54648,5.97132,0.253458,0.2153,0.190669
78,sample78.txt,103.874,Decryption,25.466,13.0225,7.77608,7.9139,0.287569,0.213543,0.171925
79,sample79.txt,115.307,Encryption,27.0422,14.98,9.11041,8.96297,0.272177,0.210947,0.211845
79,sample79.txt,115.307,Decryption,27.2246,14.5944,8.93784,8.99771,0.267836,0.201964,0.201625
80,sample80.txt,128,Encryption,30.1932,15.745,9.71824,9.57634,0.290986,0.20953,0.207061
80,sample80.txt,128,Decryption,30.7734,15.1548,9.62264,9.50454,0.294879,0.212961,0.209267
81,sample81.txt,140.8,Encryption,32.811,17.1339,10.5726,10.5715,0.327392,0.228744,0.224043
81,sample81.txt,140.8,Decryption,33.36,17.2989,10.6543,10.4773,0.342732,0.234482,0.238955
82,sample82.txt,156.299,Encryption,37.2008,20.0587,12.3201,12.353,0.359621,0.262774,0.251805
82,sample82.txt,156.299,Decryption,35.3263,15.1682,11.1927,6.98238,0.343115,0.242591,0.237889
83,sample83.txt,173.503,Encryption,28.6381,16.5795,10.1738,7.32178,0.407687,0.28522,0.273989
83,sample83.txt,173.503,Decryption,30.8499,17.4317,9.99569,9.11224,0.39875,0.284828,0.28268
84,sample84.txt,192.602,Encryption,33.5407,20.2287,10.9738,8.24027,0.436226,0.30794,0.303409
84,sample84.txt,192.602,Decryption,36.4226,18.5794,10.7039,8.39601,0.419516,0.31835,0.313677
85,sample85.txt,213.802,Encryption,37.8665,20.9233,13.1637,11.182,0.48093,0.324469,0.311548
85,sample85.txt,213.802,Decryption,39.52,20.81,11.4482,9.36257,0.443929,0.308367,0.296999
86,sample86.txt,237.337,Encryption,40.3903,29.8914,17.6223,17.8268,0.536568,0.376012,0.36259
86,sample86.txt,237.337,Decryption,55.3347,28.1273,17.1858,16.9664,0.514359,0.375254,0.351069
87,sample87.txt,263.462,Encryption,60.1282,31.2779,18.5511,18.6214,0.573367,0.405846,0.382768
87,sample87.txt,263.462,Decryption,60.5421,30.6852,18.4866,18.7895,0.558318,0.413422,0.387354
88,sample88.txt,292.462,Encryption,64.4791,34.0128,21.0333,21.091,0.580093,0.458892,0.429078
88,sample88.txt,292.462,Decryption,66.4139,34.7304,20.6273,20.8689,0.60399,0.455815,0.426289
89,sample89.txt,324.655,Encryption,73.5906,37.6613,23.1258,23.2126,0.691683,0.488079,0.451171
89,sample89.txt,324.655,Decryption,73.1182,37.2112,22.43,22.4236,0.716908,0.540111,0.529184
90,sample90.txt,360.392,Encryption,80.0152,40.7076,24.448,25.0833,0.702247,0.536004,0.484727
90,sample90.txt,360.392,Decryption,79.7939,42.789,25.042,20.2133,0.711279,0.509497,0.467689
91,sample91.txt,400.062,Encryption,69.4347,40.0157,23.9005,19.067,0.772419,0.612787,0.575704
91,sample91.txt,400.062,Decryption,82.8957,48.9005,29.0487,29.2889,0.815456,0.698284,0.658208
92,sample92.txt,444.099,Encryption,103.465,58.5703,32.9181,23.284,0.822996,0.649804,0.59444
92,sample92.txt,444.099,Decryption,81.2137,43.566,25.5812,20.5881,0.834978,0.682622,0.625219
93,sample93.txt,492.984,Encryption,87.8702,46.4964,30.5624,21.3024,0.899848,0.677219,0.620465
93,sample93.txt,492.984,Decryption,89.3077,48.7824,27.4391,22.7194,0.902755,0.725841,0.668134
94,sample94.txt,547.249,Encryption,92.8453,51.2912,30.8023,25.2683,0.98622,0.765902,0.670247
94,sample94.txt,547.249,Decryption,97.7691,49.3964,29.6335,24.3136,1.01007,0.767613,0.785993
95,sample95.txt,607.488,Encryption,102.707,55.7945,32.5338,25.4212,0.964755,0.78353,0.75874
95,sample95.txt,607.488,Decryption,106.96,54.3879,33.068,24.504,0.954339,0.803505,0.743044
96,sample96.txt,674.357,Encryption,114.671,60.9012,38.7389,28.6992,1.12397,0.875267,0.810392
96,sample96.txt,674.357,Decryption,112.177,61.5187,34.8879,25.8183,1.08688,0.859357,0.800683
97,sample97.txt,748.587,Encryption,120.882,66.7787,38.0861,27.0873,1.22535,0.928822,0.854283
97,sample97.txt,748.587,Decryption,121.757,66.1305,36.961,26.8498,1.21139,0.91295,0.903122
98,sample98.txt,830.988,Encryption,126.253,72.5315,42.1111,30.2418,1.19268,0.975213,0.826808
98,sample98.txt,830.988,Decryption,132.556,73.916,42.4091,30.6522,1.26506,1.02625,0.969959
99,sample99.txt,922.46,Encryption,143.854,82.8139,48.6229,33.5039,1.33249,1.06277,0.920172
99,sample99.txt,922.46,Decryption,151.818,81.549,46.6422,34.747,1.41276,1.08255,0.94657
100,sample100.txt,1024,Encryption,162.71,89.7751,66.8841,71.9547,1.64527,1.3492,1.22943
100,sample100.txt,1024,Decryption,190.758,91.1681,51.7585,38.6598,1.471,1.15009,1.01056
